4.208524496600000188e+06;6.783164582802999765e+06
4.208017813267000020e+06;6.782551422181000002e+06
4.207079696600000374e+06;6.783315360004999675e+06
4.208504429933000356e+06;6.783446033579999581e+06
4.208574663266999647e+06;6.783420904045999981e+06
4.207164979933000170e+06;6.783435981766000390e+06
4.208258613266999833e+06;6.783270126844000071e+06
4.207516146599999629e+06;6.782998727880000137e+06
4.208283696600000374e+06;6.782687121663000435e+06
4.207922496600000188e+06;6.783224893682999536e+06
4.207476013267000206e+06;6.782918313373000361e+06
4.207420829932999797e+06;6.783265100936999545e+06
4.207852263267000206e+06;6.782687121663000435e+06
4.207726846599999815e+06;6.783224893682999536e+06
4.208273663266999647e+06;6.782762510263999924e+06
