20711,20993,47381,33374,30227,9856,24159,1190,19601,42895,41656,1629,19630,22822,11973
6734,45689,22601,25964,50457,1304,19591,14062,1845,43571,37605,40843,50708,14074,49678
9256,30461,18788,35886,48700,13062,35468,43696,1607,12253,47188,39740,9417,50195,28411
44128,40488,46287,48187,587,13751,41945,37052,15708,47194,9865,17645,17904,29621,28676
4888,16447,18640,43361,39515,21856,34787,39497,8994,13595,23928,21515,30930,29228,20477
13621,19303,9338,31308,8677,42720,19874,16973,1800,42895,35991,10982,19459,14023,23292
13650,36106,46209,33688,6897,24161,43055,9487,19380,26320,49290,19628,40205,41919,39880
9954,39636,18930,3079,32983,30504,2832,47501,15875,49973,6571,41038,937,29258,49558
20814,11487,35526,40203,50337,20205,40236,12170,10138,22929,34100,40171,20015,35440,35244
16292,44351,6219,41971,19260,38105,41817,30415,23561,39567,2373,16351,40767,44516,31950
48008,26525,12403,24933,33286,979,20988,41146,23743,45270,8781,15949,41713,16964,31301
989,34801,32539,46382,4911,36066,30993,24515,31102,32894,4595,27952,48177,32714,30720
28075,6264,27716,37737,45837,41000,9510,32972,30124,30301,28234,40503,11184,45368,1908
36538,38283,42373,35746,50561,30573,38409,4808,2530,30420,18843,49734,6306,17668,11864
2277,131,27329,30090,50888,23022,2227,35959,46040,43257,5366,29467,45652,43965,10330
31242,23959,15158,9162,15177,43965,33163,39229,45479,1976,11391,49911,6571,6979,29159
2871,25660,39766,23406,26470,18633,17988,40548,5739,28987,29774,48219,22503,39767,50487
43894,27657,3175,910,39271,24341,34065,2713,9297,40705,25170,28621,2935,1739,13229
5299,39188,318,48662,23987,17456,33094,1508,1689,43374,13013,44561,30459,26292,47934
36965,31860,37668,6947,33040,27242,41607,18500,16371,45943,6826,49320,44267,41131,33731
